FamilyName,FirstName
PADRON MANENT, Mr Julian
PALLÀS I CASTELLÓ, Mr Emilio
PALMQUIST, Mr Oskar Leander Johansson
PARRISH, Mrs Lutie Davis
PASCOE, Mr Charles Henry
PEARCE, Mr John
PEARCEY, Mr Albert Victor
PEARS, Mrs Edith
PELHAM, Mr George
PEÑASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo
PERKIS, Mr Walter John
PERREAULT, Miss Mary Anne
PERRY, Mr Edgar Lionel
PERSSON, Mr Ernst Ulrik
PETERS, Mr William Chapman
PEUCHEN, Major Arthur Godfrey
PFROPPER, Mr Richard Paul Jozef
PHILLIMORE, Mr Harold Charles William
PHILLIPS, Miss Alice Frances Louisa
PHILLIPS, Miss Kate Florence
PICARD, Mr Benoît
PINSKY, Mrs Rosa
PITMAN, Mr Herbert John
PODESTA, Mr Alfred John Alexander
POINGDESTRE, Mr John Thomas
PORT, Mr Frank
PORTALUPPI, Mr Emilio Ilario Giuseppe
POTTER, Mrs Lily Alexenia
PRANGNELL, Mr George Alexander
PRENTICE, Mr Frank Winnold
PRICHARD, Mrs Alice Maud
PRIEST, Mr Arthur John
PRIOR, Mr Harold John Arnold
PUGH, Mr Alfred
PUSEY, Mr William Robert Holland
QUICK, Mrs Jane
QUICK, Miss Winnifred Vera
QUICK, Miss Phyllis May
RANGER, Mr Thomas
RAY, Mr Frederick Dent
RENOUF, Mrs Lillian
REYNALDO, Mrs Encarnación
RHEIMS, Mr George Alexander Lucien
RICE, Mr Charles John
RICHARDS, Mrs Emily
RICHARDS, Master William Rowe
RICHARDS, Master Sibley George
RIDSDALE, Miss Lucy
RIORDAN, Miss Hannah
ROBERT, Mrs Elisabeth Walton
ROBERTS, Mrs Mary Kezia
ROBINSON, Mrs Annie
ROMAINE, Mr Charles Hallace
ROSENBAUM, Miss Edith Louise
ROSS, Mr Horace Leopold
ROTH, Miss Sarah
ROTHES," Lucy Noël Martha,  Countess of"
ROTHSCHILD, Mrs Elizabeth Jane Anne
ROWE, Mr George Thomas
RUGG, Miss Emily
RULE, Mr Samuel James
RYAN, Mr Edward
